   83 +          .gallery-puzzle {
        84 +            position: fixed;
        85 +            top: 0;
        86 +            left: 0;
        87 +            width: 100%;
        88 +            height: 100%;
        89 +            background: linear-gradient(135deg, #0a0a15 0%, #1a0a1a 100%);
        90 +            z-index: 1000;
        91 +            display: flex;
        92 +            align-items: center;
        93 +            justify-content: center;
        94 +            font-family: 'Cormorant Garamond', serif;
        95 +          }
        96
        97 -    /**
        98 -     * Initialize Three.js scene
        99 -     */
       100 -    initScene() {
       101 -      const container = this.element.querySelector('.gallery-canvas-container');
       102 -      const width = container.clientWidth;
       103 -      const height = container.clientHeight;
        97 +          .gallery-container {
        98 +            width: 90%;
        99 +            max-width: 900px;
       100 +            display: flex;
       101 +            flex-direction: column;
       102 +            gap: 2rem;
       103 +          }
       104
       105 -      // Scene
       106 -      this.scene = new THREE.Scene();
       107 -      this.scene.background = new THREE.Color(0x050510);
       108 -      this.scene.fog = new THREE.Fog(0x050510, 5, 15);
       105 +          .gallery-header {
       106 +            text-align: center;
       107 +            color: rgba(255, 255, 255, 0.9);
       108 +          }
       109
       110 -      // Camera
       111 -      this.camera = new THREE.PerspectiveCamera(60, width / height, 0.1, 100);
       112 -      this.camera.position.set(0, 0, 10);
       110 +          .puzzle-title {
       111 +            font-size: 3rem;
       112 +            font-weight: 300;
       113 +            margin-bottom: 0.5rem;
       114 +            background: linear-gradient(135deg, #FFB6C1 0%, #87CEEB 100%);
       115 +            -webkit-background-clip: text;
       116 +            -webkit-text-fill-color: transparent;
       117 +            background-clip: text;
       118 +          }
       119
       120 -      // Renderer
       121 -      this.renderer = new THREE.WebGLRenderer({ antialias: true });
       122 -      this.renderer.setSize(width, height);
       123 -      this.renderer.setPixelRatio(Math.min(window.devicePixelRatio, 2));
       124 -      container.appendChild(this.renderer.domElement);
       120 +          .puzzle-subtitle {
       121 +            font-size: 1.5rem;
       122 +            font-weight: 300;
       123 +            font-style: italic;
       124 +            color: rgba(255, 255, 255, 0.7);
       125 +            margin-bottom: 0.5rem;
       126 +          }
       127
       128 -      // Lighting
       129 -      const ambientLight = new THREE.AmbientLight(0xffffff, 0.4);
       130 -      this.scene.add(ambientLight);
       128 +          .puzzle-instruction {
       129 +            font-size: 1.1rem;
       130 +            color: rgba(255, 255, 255, 0.6);
       131 +            font-style: italic;
       132 +          }
       133
       134 -      const spotLight = new THREE.SpotLight(0xffffff, 0.6);
       135 -      spotLight.position.set(0, 5, 10);
       136 -      this.scene.add(spotLight);
       134 +          .canvas-container {
       135 +            position: relative;
       136 +            border-radius: 16px;
       137 +            overflow: hidden;
       138 +            box-shadow: 0 20px 60px rgba(0, 0, 0, 0.5);
       139 +          }
       140
       141 -      // Resize handler
       142 -      window.addEventListener('resize', () => this.onResize());
       143 -    }
       141 +          .canvas-of-us {
       142 +            display: block;
       143 +            width: 100%;
       144 +            height: 500px;
       145 +            background: #0a0a15;
       146 +            cursor: none;
       147 +          }
       148
       149 -    /**
       150 -     * Create floating frames with shaders
       151 -     */
       152 -    createFrames() {
       153 -      const positions = [
       154 -        { x: -3, y: 1.5, z: 0 },
       155 -        { x: 0, y: 1.5, z: 0 },
       156 -        { x: 3, y: 1.5, z: 0 },
       157 -        { x: -2, y: -1, z: -1 },
       158 -        { x: 2, y: -1, z: -1 },
       159 -        { x: -3, y: -1, z: 1 },
       160 -        { x: 3, y: -1, z: 1 }
       161 -      ];
       162 -
       163 -      positions.forEach((pos, index) => {
       164 -        const frame = this.createFrame(pos, index);
       165 -        this.frames.push(frame);
       166 -        this.scene.add(frame.group);
       167 -      });
       168 -    }
       169 -
       170 -    /**
       171 -     * Create individual frame with shader
       172 -     */
       173 -    createFrame(position, index) {
       174 -      const group = new THREE.Group();
       175 -      group.position.set(position.x, position.y, position.z);
       176 -
       177 -      // Frame border (golden)
       178 -      const borderGeometry = new THREE.BoxGeometry(1.6, 1.2, 0.05);
       179 -      const borderMaterial = new THREE.MeshStandardMaterial({
       180 -        color: 0xB8860B,
       181 -        metalness: 0.9,
       182 -        roughness: 0.1
       183 -      });
       184 -      const border = new THREE.Mesh(borderGeometry, borderMaterial);
       185 -      group.add(border);
       186 -
       187 -      // Shader plane
       188 -      const geometry = new THREE.PlaneGeometry(1.5, 1.1);
       189 -      const material = new THREE.ShaderMaterial({
       190 -        uniforms: {
       191 -          time: { value: 0 },
       192 -          mouseDistance: { value: 10.0 },
       193 -          dominantHue: { value: index / 7 }, // 0-1
       194 -          revealed: { value: 0.0 }
       195 -        },
       196 -        vertexShader: `
       197 -          varying vec2 vUv;
       198 -          void main() {
       199 -            vUv = uv;
       200 -            gl_Position = projectionMatrix * modelViewMatrix * vec4(position, 1.0);
       149 +          .gallery-progress {
       150 +            text-align: center;
       151            }
       152 -        `,
       153 -        fragmentShader: `
       154 -          uniform float time;
       155 -          uniform float mouseDistance;
       156 -          uniform float dominantHue;
       157 -          uniform float revealed;
       158 -          varying vec2 vUv;
       152
       153 -          vec3 hsv2rgb(vec3 c) {
       154 -            vec4 K = vec4(1.0, 2.0 / 3.0, 1.0 / 3.0, 3.0);
       155 -            vec3 p = abs(fract(c.xxx + K.xyz) * 6.0 - K.www);
       156 -            return c.z * mix(K.xxx, clamp(p - K.xxx, 0.0, 1.0), c.y);
       153 +          .progress-bar-container {
       154 +            width: 100%;
       155 +            height: 8px;
       156 +            background: rgba(255, 255, 255, 0.1);
